s/n,Rand 1,Rand 2,Date,Item,House Collection/ Self Pickup,Organisation,Bin Location
724,0.872108412,0.690462106,25/01/2022,Clothes Dryers,House Collection,NA,JALAN PUNAI
725,0.017495219,0.991896704,11/03/2022,Aerosol Can,Self Disposal,NA,MIMOSA CRESCENT
726,0.51411571,0.445585431,27/05/2022,Air-Conditioners,House Collection,PWC-Sembwaste,NA
727,0.958122534,0.068682411,08/04/2022,Milk Carton,House Collection,Passiton.org,NA
728,0.260845893,0.06932521,13/05/2022,Glass Medicine Bottle,House Collection,Passiton.org,NA
729,0.678653873,0.63988059,13/03/2022,Beer Bottle,House Collection,NA,SURREY ROAD
730,0.267715156,0.885062861,07/01/2022,Glass Medicine Bottle,Self Disposal,NA,FIRST LOK YANG ROAD
731,0.263828847,0.058652847,14/06/2022,Glass Medicine Bottle,House Collection,Passiton.org,NA
732,0.168642965,0.14973832,16/04/2022,Facial Cleanser Bottle,House Collection,Ezi,NA
733,0.710363355,0.70317964,10/05/2022,Bedsheets,House Collection,NA,LANGSAT ROAD
734,0.559480799,0.80102984,10/06/2022,Biscuit Tin,House Collection,NA,SENGKANG SQUARE
735,0.278632315,0.010436986,23/05/2022,Paint Container,House Collection,Greensquare,NA
736,0.630166579,0.273946312,30/04/2022,Rice,Self Disposal,Alba,NA
737,0.981522763,0.444819764,07/05/2022,Paper Envelope With Window,House Collection,PWC-Sembwaste,NA
738,0.327466102,0.080342416,28/05/2022,Shampoo Bottle,House Collection,Passiton.org,NA
739,0.554261847,0.830879006,18/06/2022,Personal Mobility Devices,Self Disposal,NA,ELLINGTON SQUARE
740,0.594772047,0.220192212,25/06/2022,Cassette Tape,House Collection,Gee Hoe Seng Pte Ltd,NA
741,0.824279004,0.104087756,03/03/2022,Paper Packaging,Self Disposal,Salvation Army,NA
742,0.185956504,0.993301049,04/02/2022,Glass Cosmetic Bottle,House Collection,NA,JALAN PELAJAU
743,0.929403953,0.504700662,11/04/2022,Towels,Self Disposal,NA,FULLERTON ROAD
744,0.065743352,0.537498751,28/04/2022,Bodywash Bottle,Self Disposal,NA,WEST COAST VALE
745,0.289823754,0.765839249,05/01/2022,Paint Container,Self Disposal,NA,PASIR RIS GROVE
746,0.814063635,0.798071067,24/01/2022,Medicine Blister Pack,Self Disposal,NA,COMPASSVALE DRIVE
747,0.39549477,0.43817805,03/06/2022,Beer Bottle,House Collection,PWC-Sembwaste,NA
748,0.862230126,0.825683723,23/06/2022,Paper Envelope With Window,Self Disposal,NA,ANG MO KIO AVENUE 6
749,0.841267633,0.211415472,01/03/2022,Greeting Card,House Collection,Gee Hoe Seng Pte Ltd,NA
750,0.175052565,0.782458139,17/05/2022,Facial Cleanser Bottle,House Collection,NA,DEFU SOUTH STREET 2
751,0.640763753,0.254364716,20/01/2022,Wine Bottle,Self Disposal,Tidy,NA
752,0.722770136,0.321489641,04/05/2022,Paper Bag,House Collection,Alba E-waste Smart Recycling,NA
753,0.215934156,0.225505804,23/06/2022,Glass Cosmetic Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
754,0.331359184,0.59536166,13/01/2022,Shampoo Bottle,House Collection,NA,MOUNT ECHO PARK
755,0.422125041,0.191032313,14/05/2022,Biscuit Tin,House Collection,Gee Hoe Seng Pte Ltd,NA
756,0.286792055,0.246930281,07/01/2022,Paint Container,Self Disposal,Tidy,NA
757,0.70205026,0.793402738,05/03/2022,Greeting Card,House Collection,NA,JALAN GOTONG ROYONG
758,0.683557149,0.803350701,12/04/2022,Paper Towel Roll,Self Disposal,NA,POH HUAT TERRACE
759,0.618833229,0.248513907,14/06/2022,Shampoo Bottle,Self Disposal,Tidy,NA
760,0.529014155,0.928650661,16/03/2022,Backpacks,House Collection,NA,OLD LIM CHU KANG ROAD
761,0.15832261,0.598256891,18/02/2022,Facial Cleanser Bottle,House Collection,NA,KENG CHIN ROAD
762,0.464476503,0.347590713,14/03/2022,Canned Food Can,House Collection,Alba E-waste Smart Recycling,NA
763,0.690010523,0.596123768,09/06/2022,Beds,Self Disposal,NA,KAY POH ROAD
764,0.601767296,0.918442528,24/02/2022,CD Case,Self Disposal,NA,JALAN TEKAD
765,0.573187494,0.810228809,08/06/2022,Tablets,House Collection,NA,FLORENCE ROAD
766,0.105198259,0.1681353,15/04/2022,Detergent Bottle,House Collection,Ezi,NA
767,0.142073,0.818161497,08/06/2022,Facial Cleanser Bottle,House Collection,NA,RIPLEY CRESCENT
768,0.680712864,0.781214359,28/01/2022,Book,Self Disposal,NA,BUANGKOK GREEN
769,0.428530494,0.389313178,25/04/2022,Biscuit Tin,House Collection,PWC-Alba-WH,NA
770,0.944247481,0.739134423,22/02/2022,Sandals,Self Disposal,NA,JALAN KUPANG
771,0.539364831,0.15246669,07/02/2022,Shampoo Bottle,House Collection,Ezi,NA
772,0.854243852,0.922394367,10/02/2022,Paper Cup,Self Disposal,NA,CHOA CHU KANG AVENUE 5
773,0.605334347,0.443991265,28/02/2022,Writing Paper,House Collection,PWC-Sembwaste,NA
774,0.934092016,0.288509278,23/02/2022,Plastic Cutlery,Self Disposal,Alba,NA
775,0.949232711,0.060167018,10/04/2022,Cutlery,House Collection,Passiton.org,NA
776,0.694166776,0.822978595,12/02/2022,Cassette Tape,House Collection,NA,COLCHESTER GROVE
777,0.265975562,0.156356532,03/01/2022,Glass Medicine Bottle,House Collection,Ezi,NA
778,0.622214283,0.445393061,02/04/2022,Glass Bowl,House Collection,PWC-Sembwaste,NA
779,0.950598476,0.447135453,01/01/2022,Set-Top Boxes,House Collection,PWC-Sembwaste,NA
780,0.922305583,0.171501706,19/02/2022,Plastic Clothes Hanger,House Collection,Ezi,NA
781,0.565474193,0.668289713,15/03/2022,Writing Paper,Self Disposal,NA,JALAN MUHIBBAH
782,0.800784679,0.372038996,26/01/2022,Egg Tray,House Collection,PWC-Alba-WH,NA
783,0.147393509,0.064018127,06/05/2022,Facial Cleanser Bottle,House Collection,Passiton.org,NA
784,0.711518255,0.004588032,04/02/2022,Network Hubs,House Collection,Greensquare,NA
785,0.932502291,0.918428464,25/05/2022,Washing Machines,Self Disposal,NA,JALAN TEKAD
786,0.224684425,0.17100708,30/01/2022,Glass Cosmetic Bottle,House Collection,Ezi,NA
787,0.888973744,0.928426847,28/04/2022,Chairs,House Collection,NA,JALAN MURAI
788,0.426832775,0.125057007,22/02/2022,Biscuit Tin,Self Disposal,Salvation Army,NA
789,0.544983267,0.597142504,11/03/2022,Printed Paper,Self Disposal,NA,HOLLAND HEIGHTS
790,0.256634466,0.132539997,20/04/2022,Glass Medicine Bottle,Self Disposal,Salvation Army,NA
791,0.408478866,0.159380272,04/04/2022,Beer Bottle,House Collection,Ezi,NA
792,0.004535019,0.536134026,04/02/2022,Aerosol Can,Self Disposal,NA,CLEMENTI AVENUE 4
793,0.280149953,0.347135429,24/02/2022,Paint Container,House Collection,Alba E-waste Smart Recycling,NA
794,0.785612865,0.452570718,06/06/2022,Markers,House Collection,PWC-Sembwaste,NA
795,0.839562769,0.360042228,07/06/2022,Wine Bottle,House Collection,Alba E-waste Smart Recycling,NA
796,0.351330026,0.164448201,02/05/2022,Shampoo Bottle,House Collection,Ezi,NA
797,0.788471554,0.487761284,25/06/2022,Shirts,Self Disposal,PWC-800 Super,NA
798,0.070713021,0.594250105,02/03/2022,Bodywash Bottle,Self Disposal,NA,RIDOUT ROAD
799,0.091901997,0.21814977,28/01/2022,Detergent Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
800,0.932869098,0.290225169,21/05/2022,Ceramic,Self Disposal,Alba,NA
801,0.73894094,0.591131105,13/06/2022,Glass Drink Bottle,House Collection,NA,EBER ROAD
802,0.557189975,0.392097009,01/04/2022,Video Tape,House Collection,PWC-Alba-WH,NA
803,0.036621387,0.51121568,27/06/2022,Aerosol Can,House Collection,NA,TRAS LINK
804,0.936251286,0.630077218,04/05/2022,Detergent Bottle,House Collection,NA,ENG NEO AVENUE
805,0.773916646,0.877331728,08/06/2022,Ceramic,House Collection,NA,BANYAN ROAD
806,0.056124045,0.561292131,15/05/2022,Bodywash Bottle,House Collection,NA,LEWIN TERRACE
807,0.978301413,0.922932264,17/05/2022,Plastic Drink Bottle,House Collection,NA,CHOA CHU KANG NORTH 7
808,0.863248016,0.242094573,11/01/2022,Red Packet,Self Disposal,Tidy,NA
809,0.853404725,0.610185785,25/03/2022,Ceramic,House Collection,NA,LIM TAI SEE WALK
810,0.58866479,0.451846969,13/05/2022,Backpacks,House Collection,PWC-Sembwaste,NA
811,0.479180776,0.297665153,19/06/2022,Canned Food Can,Self Disposal,Alba,NA
812,0.769381694,0.437228962,29/06/2022,Rice,House Collection,PWC-Sembwaste,NA
813,0.946982391,0.904241964,26/04/2022,Sunglasses,Self Disposal,NA,BULIM WALK
814,0.947070814,0.169098492,12/06/2022,Watches,House Collection,Ezi,NA
815,0.4293869,0.456163279,03/03/2022,Biscuit Tin,Self Disposal,PWC-800 Super,NA
816,0.406658095,0.885039521,11/06/2022,Beer Bottle,Self Disposal,NA,FIRST LOK YANG ROAD
817,0.495095684,0.817868217,06/03/2022,Canned Food Can,House Collection,NA,SERANGOON GARDEN WAY
818,0.361374392,0.574044955,31/01/2022,Shampoo Bottle,House Collection,NA,CAVAN ROAD
819,0.885131859,0.544564492,23/03/2022,Pencils,Self Disposal,NA,ONE-NORTH GATEWAY
820,0.64499423,0.604872115,21/04/2022,Writing Paper,House Collection,NA,DALVEY ROAD
821,0.085669764,0.546203085,17/04/2022,Bodywash Bottle,Self Disposal,NA,WEYHILL CLOSE
822,0.408358533,0.723107705,05/06/2022,Beer Bottle,Self Disposal,NA,NALLUR ROAD
823,0.628435798,0.381416775,09/04/2022,Backpacks,House Collection,PWC-Alba-WH,NA
824,0.841764852,0.382960647,03/06/2022,Namecard,House Collection,PWC-Alba-WH,NA
825,0.383995908,0.891652383,17/04/2022,Beer Bottle,House Collection,NA,TUAS ROAD
826,0.650754627,0.169499492,06/02/2022,Bedsheets,House Collection,Ezi,NA
827,0.047298968,0.250410395,01/07/2022,Bodywash Bottle,Self Disposal,Tidy,NA
828,0.183050925,0.022739484,06/02/2022,Glass Cosmetic Bottle,House Collection,Greensquare,NA
829,0.796801363,0.096575066,21/04/2022,Aerosol Can,Self Disposal,Salvation Army,NA
830,0.200615703,0.387611262,14/01/2022,Glass Cosmetic Bottle,House Collection,PWC-Alba-WH,NA
831,0.625893681,0.678470151,12/03/2022,Rice Cookers,Self Disposal,NA,GUILLEMARD CRESCENT
832,0.335155729,0.400673372,07/01/2022,Shampoo Bottle,House Collection,PWC-Alba-WH,NA
833,0.582974163,0.388805862,20/03/2022,Magazine,House Collection,PWC-Alba-WH,NA
834,0.062426846,0.156190882,29/03/2022,Bodywash Bottle,House Collection,Ezi,NA
835,0.848190383,0.793398685,10/03/2022,Shorts,House Collection,NA,JALAN GOTONG ROYONG
836,0.222287088,0.813036589,20/04/2022,Glass Cosmetic Bottle,Self Disposal,NA,SERANGOON NORTH VIEW
837,0.361688088,0.671321613,09/01/2022,Shampoo Bottle,House Collection,NA,BURN ROAD
838,0.622240297,0.693308421,05/02/2022,Glass Bowl,House Collection,NA,LENGKONG LIMA
839,0.450350623,0.9683996,18/01/2022,Biscuit Tin,House Collection,NA,MENG SUAN ROAD
840,0.692048162,0.068283829,22/02/2022,Servers,House Collection,Passiton.org,NA
841,0.11978706,0.895422992,18/03/2022,Detergent Bottle,Self Disposal,NA,YUNNAN WALK 1
842,0.221692896,0.688306263,26/02/2022,Glass Cosmetic Bottle,Self Disposal,NA,EUNOS AVENUE 5A
843,0.619248317,0.451297717,05/01/2022,Canned Food Can,House Collection,PWC-Sembwaste,NA
844,0.650806185,0.950301484,16/06/2022,Crockery,Self Disposal,NA,KANDIS LINK
845,0.339057143,0.73167489,17/03/2022,Shampoo Bottle,Self Disposal,NA,BEDOK NORTH AVENUE 4
846,0.514186166,0.653695755,19/02/2022,Air-Conditioners,Self Disposal,NA,BOON KENG ROAD
847,0.51240163,0.109317016,14/03/2022,Mobile Telephones,Self Disposal,Salvation Army,NA
848,0.285844926,0.06833529,27/03/2022,Paint Container,House Collection,Passiton.org,NA
849,0.164795922,0.031958606,23/04/2022,Facial Cleanser Bottle,House Collection,Greensquare,NA
850,0.59484374,0.482838008,01/07/2022,Cassette Tape,Self Disposal,PWC-800 Super,NA
851,0.921836492,0.242330363,04/01/2022,Paper Envelope With Window,Self Disposal,Tidy,NA
852,0.357278783,0.809367831,23/03/2022,Shampoo Bottle,Self Disposal,NA,JALAN CHORAK
853,0.694754424,0.095223592,09/02/2022,Medicine Blister Pack,Self Disposal,Salvation Army,NA
854,0.706537937,0.245625807,08/01/2022,Board Games,Self Disposal,Tidy,NA
855,0.196525511,0.207607147,09/05/2022,Glass Cosmetic Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
856,0.519733243,0.969704035,27/05/2022,Biscuit Tin,Self Disposal,NA,SPRINGLEAF AVENUE
857,0.083190619,0.973757359,10/06/2022,Bodywash Bottle,Self Disposal,NA,SPRINGLEAF DRIVE
858,0.953343245,0.961453245,20/01/2022,Melamine,Self Disposal,NA,YISHUN STREET 11
859,0.641959307,0.813591699,31/05/2022,Gift Wrapping Paper,Self Disposal,NA,SERANGOON GARDEN CLOSE
860,0.769678132,0.379480651,23/03/2022,Chairs,House Collection,PWC-Alba-WH,NA
861,0.108831686,0.167504099,11/02/2022,Detergent Bottle,House Collection,Ezi,NA
862,0.378369859,0.300438233,04/02/2022,Beer Bottle,Self Disposal,Alba,NA
863,0.045351748,0.001088793,09/06/2022,Aerosol Can,House Collection,Greensquare,NA
864,0.85197786,0.402449035,19/01/2022,Long Fluorescent Tubes,House Collection,PWC-Alba-WH,NA
865,0.136612299,0.555117383,16/06/2022,Facial Cleanser Bottle,House Collection,NA,JALAN BUKIT HO SWEE
866,0.378538201,0.108027325,06/04/2022,Beer Bottle,Self Disposal,Salvation Army,NA
867,0.020517789,0.645719031,31/01/2022,Aerosol Can,Self Disposal,NA,LORONG 4 TOA PAYOH
868,0.093634792,0.066290231,14/02/2022,Detergent Bottle,House Collection,Passiton.org,NA
869,0.738159166,0.745348942,01/07/2022,Shampoo Bottle,House Collection,NA,EASTWOOD PLACE
870,0.778073746,0.653085262,28/02/2022,Beer Bottle,House Collection,NA,IRRAWADDY ROAD
871,0.710522254,0.226074483,24/04/2022,Crockery,House Collection,Gee Hoe Seng Pte Ltd,NA
872,0.575786806,0.950042397,24/04/2022,Paper Cup,House Collection,NA,ADMIRALTY LANE
873,0.754253269,0.278746329,18/02/2022,Instant Noodle Bag,Self Disposal,Alba,NA
874,0.547180727,0.970537636,11/02/2022,Pencils,House Collection,NA,SPRINGLEAF CRESCENT
875,0.956531964,0.73631964,07/04/2022,Glass Medicine Bottle,House Collection,NA,SENNETT CLOSE
876,0.560600804,0.821191073,04/02/2022,Packet Drink,Self Disposal,NA,HYTHE ROAD
877,0.28425543,0.39152681,16/04/2022,Paint Container,House Collection,PWC-Alba-WH,NA
878,0.780906319,0.952934901,17/02/2022,Egg Tray,House Collection,NA,SENOKO CRESCENT
879,0.874492864,0.503206471,01/01/2022,Plastic Cutlery,House Collection,NA,ROBINSON ROAD
880,0.093625809,0.570827954,07/01/2022,Detergent Bottle,House Collection,NA,SAM LEONG ROAD
881,0.74213995,0.693979279,09/05/2022,Magazine Wrapper,Self Disposal,NA,KAKI BUKIT ROAD 4
882,0.372648557,0.657714399,23/04/2022,Beer Bottle,House Collection,NA,PANG SENG ROAD
883,0.904234023,0.904214785,03/03/2022,Rice Cookers,Self Disposal,NA,BULIM WALK
884,0.319673891,0.244528287,11/06/2022,Shampoo Bottle,Self Disposal,Tidy,NA
885,0.106529595,0.451868521,30/06/2022,Detergent Bottle,House Collection,PWC-Sembwaste,NA
886,0.960139817,0.453292554,02/02/2022,Glass Bowl,House Collection,PWC-Sembwaste,NA
887,0.299893224,0.893014113,19/06/2022,Paint Container,House Collection,NA,TUAS WEST STREET
888,0.05162867,0.630837933,12/02/2022,Bodywash Bottle,House Collection,NA,ARCADIA ROAD
889,0.084593603,0.206953885,25/06/2022,Bodywash Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
890,0.504807756,0.317903958,27/05/2022,Plastic Clothes Hanger,Self Disposal,Alba,NA
891,0.784063805,0.610325568,22/02/2022,Toilet Paper Roll,House Collection,NA,LEEDON ROAD
892,0.796150153,0.686619011,02/03/2022,Diaper,House Collection,NA,UBI ROAD 1
893,0.939160306,0.122018072,07/05/2022,Book,Self Disposal,Salvation Army,NA
894,0.656547516,0.768551805,07/05/2022,Video Tape,Self Disposal,NA,PASIR RIS FARMWAY 2
895,0.919972077,0.605733019,28/02/2022,Egg Tray,House Collection,NA,ARDMORE PARK
896,0.267761064,0.725017662,01/05/2022,Glass Medicine Bottle,Self Disposal,NA,JALAN SEMPADAN
897,0.331146742,0.244989673,04/06/2022,Shampoo Bottle,Self Disposal,Tidy,NA
898,0.205413541,0.67857064,20/01/2022,Glass Cosmetic Bottle,House Collection,NA,PINE CLOSE
899,0.493327948,0.562213386,22/06/2022,Canned Food Can,Self Disposal,NA,CONNAUGHT DRIVE
900,0.455230654,0.364533404,06/02/2022,Canned Food Can,House Collection,PWC-Alba-WH,NA
901,0.045353194,0.114045733,25/02/2022,Aerosol Can,Self Disposal,Salvation Army,NA
902,0.13549465,0.850959598,16/05/2022,Detergent Bottle,House Collection,NA,JALAN JAMBU BATU
903,0.195593637,0.852074741,29/01/2022,Glass Cosmetic Bottle,Self Disposal,NA,HINDHEDE DRIVE
904,0.309188562,0.562210987,12/03/2022,Paint Container,Self Disposal,NA,CONNAUGHT DRIVE
905,0.259937129,0.139299985,01/06/2022,Glass Medicine Bottle,House Collection,Ezi,NA
906,0.883385919,0.87498811,14/03/2022,Telephone Directory,House Collection,NA,JOO KOON CIRCLE
907,0.67092532,0.737323946,18/01/2022,Cutlery,Self Disposal,NA,LUCKY HEIGHTS
908,0.374992613,0.981569537,20/02/2022,Beer Bottle,House Collection,NA,SELETAR WEST FARMWAY 1
909,0.655239892,0.98650646,22/04/2022,Mirror,House Collection,NA,SELETAR GREEN WALK
910,0.336153686,0.841211728,22/04/2022,Shampoo Bottle,Self Disposal,NA,JALAN TAMBUR
911,0.999828004,0.013721208,08/06/2022,Gift Wrapping Paper,House Collection,Greensquare,NA
912,0.616500532,0.904310687,15/04/2022,Tissue Paper,Self Disposal,NA,BULIM WALK
913,0.4780821,0.350687457,11/03/2022,Canned Food Can,House Collection,Alba E-waste Smart Recycling,NA
914,0.045372226,0.859400576,27/05/2022,Aerosol Can,House Collection,NA,LORONG PISANG EMAS
915,0.52174933,0.1128672,23/03/2022,Brochure,Self Disposal,Salvation Army,NA
916,0.117183493,0.569543472,09/03/2022,Detergent Bottle,House Collection,NA,KITCHENER LINK
917,0.347556209,0.614094224,29/01/2022,Shampoo Bottle,Self Disposal,NA,HOLLAND DRIVE
918,0.327806043,0.183427362,24/02/2022,Shampoo Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
919,0.408381272,0.303643656,07/01/2022,Beer Bottle,Self Disposal,Alba,NA
920,0.387080238,0.94107016,12/01/2022,Beer Bottle,Self Disposal,NA,WOODLANDS SECTOR 2
921,0.573172031,0.150355427,26/02/2022,Tablets,House Collection,Ezi,NA
922,0.060363434,0.051573234,12/04/2022,Bodywash Bottle,House Collection,Passiton.org,NA
923,0.8145898,0.085119532,18/03/2022,Paper Plate,House Collection,Passiton.org,NA
924,0.984587389,0.188624995,05/06/2022,Pencils,House Collection,Gee Hoe Seng Pte Ltd,NA
925,0.285047301,0.159332193,11/05/2022,Paint Container,House Collection,Ezi,NA
926,0.310466272,0.565807836,27/05/2022,Paint Container,Self Disposal,NA,BEACH ROAD
927,0.756297066,0.33181285,03/04/2022,Diaper,House Collection,Alba E-waste Smart Recycling,NA
928,0.786834338,0.401916951,08/03/2022,Carriers,House Collection,PWC-Alba-WH,NA
929,0.160421466,0.270008774,18/06/2022,Facial Cleanser Bottle,Self Disposal,Tidy,NA
930,0.422749859,0.11978023,05/04/2022,Biscuit Tin,Self Disposal,Salvation Army,NA
931,0.911481245,0.807276278,05/02/2022,Light Bulbs,House Collection,NA,LIM TUA TOW ROAD
932,0.069414634,0.210769066,16/05/2022,Bodywash Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
933,0.251593686,0.129131689,23/02/2022,Glass Medicine Bottle,Self Disposal,Salvation Army,NA
934,0.206169563,0.731553658,30/03/2022,Glass Cosmetic Bottle,Self Disposal,NA,BEDOK NORTH STREET 4
935,0.689374663,0.831183277,20/01/2022,Skirts,House Collection,NA,ANG MO KIO STREET 63
936,0.8863091,0.226858667,28/03/2022,High Chairs,House Collection,Gee Hoe Seng Pte Ltd,NA
937,0.375198966,0.384228545,12/06/2022,Beer Bottle,House Collection,PWC-Alba-WH,NA
938,0.894448794,0.844129866,03/03/2022,Potato Chip Bag,Self Disposal,NA,JALAN IKAN MERAH
939,0.333232097,0.431003248,29/03/2022,Shampoo Bottle,House Collection,PWC-Sembwaste,NA
940,0.62036088,0.394813726,24/01/2022,Plastic Drink Bottle,House Collection,PWC-Alba-WH,NA
941,0.864613136,0.641589016,21/05/2022,Toasters,Self Disposal,NA,KHIANG GUAN AVENUE
942,0.203384965,0.522633619,14/04/2022,Glass Cosmetic Bottle,Self Disposal,NA,BUKIT MANIS ROAD
943,0.029280099,0.012363948,08/05/2022,Aerosol Can,House Collection,Greensquare,NA
944,0.522061276,0.817815425,01/05/2022,Calendar,Self Disposal,NA,SAINT HELIER'S AVENUE
945,0.666746273,0.28592464,01/03/2022,Board Games,Self Disposal,Alba,NA
946,0.355902628,0.12426144,28/04/2022,Shampoo Bottle,Self Disposal,Salvation Army,NA
947,0.703809976,0.938190826,02/03/2022,Plastic Egg Tray,Self Disposal,NA,WOODLANDS DRIVE 71
948,0.578089998,0.939256621,18/05/2022,Contact Lens Blister,House Collection,NA,WOODLANDS CRESCENT
949,0.10379893,0.213164209,20/02/2022,Detergent Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
950,0.307170502,0.922013238,24/06/2022,Paint Container,House Collection,NA,CHOA CHU KANG AVENUE 3
951,0.380223046,0.926331303,15/04/2022,Beer Bottle,Self Disposal,NA,CHOA CHU KANG ROAD
952,0.860101605,0.215302978,27/02/2022,CD,House Collection,Gee Hoe Seng Pte Ltd,NA
953,0.203909003,0.888125483,24/01/2022,Glass Cosmetic Bottle,House Collection,NA,TUAS SOUTH AVENUE 10
954,0.316428729,0.817443204,19/03/2022,Paint Container,House Collection,NA,TAI HWAN AVENUE
955,0.494437886,0.185769587,23/04/2022,Canned Food Can,House Collection,Gee Hoe Seng Pte Ltd,NA
956,0.782792682,0.891037215,09/01/2022,Paper Receipt,House Collection,NA,TUAS SOUTH STREET 5
957,0.134584124,0.382191142,08/05/2022,Detergent Bottle,House Collection,PWC-Alba-WH,NA
958,0.682234002,0.257589935,20/03/2022,Greeting Card,Self Disposal,Tidy,NA
959,0.134604989,0.086514099,26/03/2022,Detergent Bottle,House Collection,Passiton.org,NA
960,0.122133664,0.052160081,07/05/2022,Detergent Bottle,House Collection,Passiton.org,NA
961,0.123186623,0.792688925,10/01/2022,Detergent Bottle,House Collection,NA,JALAN LABU MANIS
962,0.711506716,0.823236874,22/06/2022,Network Hubs,Self Disposal,NA,CHUAN TERRACE
963,0.010695588,0.809842949,21/05/2022,Aerosol Can,Self Disposal,NA,HIGHLAND TERRACE
964,0.330278999,0.079043806,18/03/2022,Shampoo Bottle,House Collection,Passiton.org,NA
965,0.999809125,0.832870523,01/05/2022,Gift Wrapping Paper,Self Disposal,NA,BISHAN STREET 23
966,0.449031887,0.351687223,21/04/2022,Biscuit Tin,House Collection,Alba E-waste Smart Recycling,NA
967,0.039841858,0.320405877,14/01/2022,Aerosol Can,House Collection,Alba E-waste Smart Recycling,NA
968,0.147227141,0.384686498,13/01/2022,Facial Cleanser Bottle,House Collection,PWC-Alba-WH,NA
969,0.34250514,0.187726572,12/03/2022,Shampoo Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
970,0.344734831,0.418343427,17/06/2022,Shampoo Bottle,House Collection,PWC-Sembwaste,NA
971,0.684686856,0.575821685,03/02/2022,Toilet Paper Roll,Self Disposal,NA,RANGOON ROAD
972,0.342019327,0.674174598,02/04/2022,Shampoo Bottle,Self Disposal,NA,SALLIM ROAD
973,0.600390152,0.416291031,23/03/2022,Packet Drink,House Collection,PWC-Sembwaste,NA
974,0.909153013,0.147168204,08/03/2022,Bedsheets,House Collection,Ezi,NA
975,0.842608423,0.263567559,27/03/2022,Paper Towel Roll,Self Disposal,Tidy,NA
976,0.494054124,0.409038028,20/01/2022,Canned Food Can,House Collection,PWC-Alba-WH,NA
977,0.342059625,0.29003842,03/06/2022,Shampoo Bottle,Self Disposal,Alba,NA
978,0.169966268,0.133152959,25/01/2022,Facial Cleanser Bottle,Self Disposal,Salvation Army,NA
979,0.910926933,0.604148799,04/01/2022,Switches,House Collection,NA,FARRER ROAD
980,0.743197118,0.808132054,11/04/2022,Paper Towel Roll,House Collection,NA,KANG CHOO BIN WALK
981,0.086992292,0.364997306,20/03/2022,Bodywash Bottle,House Collection,PWC-Alba-WH,NA
982,0.943882881,0.594198097,06/05/2022,Ovens,House Collection,NA,RITCHIE ROAD
983,0.588873242,0.01747394,31/01/2022,Handbags,House Collection,Greensquare,NA
984,0.330029842,0.870066745,06/01/2022,Shampoo Bottle,House Collection,NA,CORPORATION ROAD
985,0.499852966,0.609531047,04/04/2022,Canned Food Can,Self Disposal,NA,NAMLY CRESCENT
986,0.031830388,0.028654385,17/03/2022,Aerosol Can,House Collection,Greensquare,NA
987,0.30554366,0.117489178,19/03/2022,Paint Container,Self Disposal,Salvation Army,NA
988,0.367109879,0.615508248,15/01/2022,Beer Bottle,House Collection,NA,WILBY ROAD
989,0.253647487,0.324819843,08/01/2022,Glass Medicine Bottle,House Collection,Alba E-waste Smart Recycling,NA
990,0.447368228,0.451551734,02/05/2022,Biscuit Tin,House Collection,PWC-Sembwaste,NA
991,0.959450309,0.275572576,28/06/2022,Calendar,Self Disposal,Alba,NA
992,0.422046994,0.929525505,06/05/2022,Biscuit Tin,Self Disposal,NA,NEO TIEW LANE 3
993,0.157072026,0.668543614,12/01/2022,Facial Cleanser Bottle,Self Disposal,NA,JALAN MESIN
994,0.159265919,0.386987362,15/01/2022,Facial Cleanser Bottle,House Collection,PWC-Alba-WH,NA
995,0.308830489,0.772156649,01/01/2022,Paint Container,Self Disposal,NA,TAMPINES STREET 42
996,0.257274135,0.081638998,25/06/2022,Glass Medicine Bottle,House Collection,Passiton.org,NA
997,0.822123509,0.270065881,10/02/2022,Paper Bag,Self Disposal,Tidy,NA
998,0.566914218,0.714945966,09/03/2022,Markers,Self Disposal,NA,CRANBORNE ROAD
999,0.019627861,0.958848253,20/03/2022,Aerosol Can,House Collection,NA,JALAN DERUM
1000,0.744129261,0.814891625,06/06/2022,Telephone Directory,Self Disposal,NA,CHUAN LINK
1001,0.840609105,0.49178691,31/05/2022,Flyer,Self Disposal,PWC-800 Super,NA
1002,0.903685352,0.892262285,04/02/2022,Carton Box,Self Disposal,NA,TUAS SOUTH AVENUE 5
1003,0.841780155,0.274143319,07/06/2022,Namecard,Self Disposal,Alba,NA
1004,0.654858914,0.227732447,16/06/2022,Instant Noodle Bag,Self Disposal,Tidy,NA
1005,0.95978738,0.669456111,17/02/2022,Egg Tray,Self Disposal,NA,JALAN GEMBIRA
1006,0.926201996,0.921293206,30/05/2022,Prams,House Collection,NA,CHOA CHU KANG AVENUE 1
1007,0.831999707,0.117652058,25/06/2022,Light Bulbs,Self Disposal,Salvation Army,NA
